id,ra,dec,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,votes,p_el_debiased,p_cs_debiased,spiral,elliptical,uncertain
587728948510458000,149.42403,-0.35489277,0.088526,18.681936,16.797159,15.834402,15.396843,15.050943,4.342711,0.851005,2.319697,0.831166,11.174479,34,0.87,0.13,0,1,0
588848898825388000,149.01607,-0.94241232,0.13804,19.986643,17.990219,16.99596,16.551502,16.219078,1.971142,0.910732,1.224011,0.909489,11.057817,50,0.56699997,0.347,0,0,1
588848898825388000,149.08699,-0.90382007,0.137712,20.257545,18.266703,17.40497,16.91728,16.520205,15.34763,0.080024,5.926767,0.133001,11.01178,27,7.00E-03,0.99299997,1,0,0
587728947973062000,148.24123,-0.7952461,0.088637,20.308578,18.453121,17.487915,17.03039,16.693554,1.570783,0.357792,1.202635,0.43404,10.597195,29,0.223,0.55000001,0,0,1
588848899898605000,147.82682,-0.16685028,0.09211,19.10367,18.094818,17.513985,17.183268,17.017365,13.303554,0.516016,4.699475,0.51909,10.161265,29,0.064,0.662,0,0,1
587728950120939000,149.17239,0.849243,0.062952,19.710329,17.727346,16.874743,16.470797,16.158447,1.063135,0.548888,0.852569,0.657473,10.368913,35,0.68599999,0.28600001,0,0,1
587728950121005000,149.32467,0.96515239,0.086597,19.445755,17.937534,17.230316,16.929195,16.623348,7.939909,0.957067,3.018544,0.973181,10.238911,23,0.35100001,0.64899999,0,0,1
587728949584134000,149.37023,0.58818421,0.04639,18.665314,16.840504,16.024509,15.643447,15.35463,2.862803,0.627305,1.852309,0.650823,10.400941,22,0.5,0,0,0,1
587728949584265000,149.60259,0.53421222,0.092592,19.245483,17.71669,17.171141,16.924583,16.700037,0.616804,0.956994,0.599411,0.884976,10.189408,58,0.51700002,0.103,0,0,1
587728949584461000,150.017,0.49588201,0.091498,19.941587,17.975693,17.015518,16.595438,16.242693,1.258504,0.432972,1.028043,0.496554,10.725702,36,0.65600002,0.317,0,0,1
588848900436525000,150.24791,0.30667754,0.045732,18.685369,17.644974,17.306717,17.046801,16.919432,6.373072,0.624169,2.802923,0.669134,9.365784,68,0.116,0.699,0,0,1
587727942423347000,150.03345,1.2044814,0.09774,19.93198,17.879816,16.989899,16.609398,16.340235,2.167755,0.656131,1.486821,0.646164,10.740131,33,0.40900001,0.235,0,0,1
587728950121332000,150.03499,0.9847942,0.031821,17.300169,16.372044,15.920492,15.669635,15.504093,0.981505,0.970505,0.762742,0.936709,9.836057,54,0.667,0.074,0,0,1
587728949047721000,150.31873,0.12098792,0.032186,18.078833,16.742479,16.138102,15.765435,15.493405,15.709485,0.267999,6.20372,0.273128,9.93179,55,0.047,0.95300001,1,0,0
587728947975422000,153.64453,-0.83055661,0.046561,18.7348,16.956299,16.143021,15.757579,15.445911,3.430189,0.807298,2.230562,0.770721,10.343048,33,0.83600003,0.101,0,0,1
588848899362324000,149.22271,-0.55893821,0.085058,19.882725,18.00111,17.100773,16.722435,16.414742,2.065168,0.670071,1.456434,0.693497,10.508966,26,0.70200002,0.243,0,0,1
587728949047328000,149.41685,4.29E-04,0.035404,18.186066,16.932669,16.520788,16.243942,16.180553,15.87964,0.24667,6.109409,0.266484,9.44934,53,6.00E-03,0.99400002,1,0,0
587728949047263000,149.37332,0.03881439,0.083439,20.088387,18.245743,17.308121,16.84325,16.457788,2.230496,0.373779,1.39266,0.458874,10.576591,32,0.324,0.60500002,1,0,0
588848898825388000,149.06833,-0.97263881,0.164577,20.70513,18.602791,17.44655,16.985916,16.624722,1.780808,0.830155,1.175175,0.784243,11.125255,30,0.75599998,0.09,0,0,1
588848899899195000,149.255,-0.1600397,0.088866,19.407459,18.291401,17.69982,17.338957,17.169258,2.645847,0.797631,1.485782,0.823014,10.057339,29,0.271,0.46900001,0,0,1
587728950120808000,148.90653,1.0012438,0.080585,18.653652,17.443869,17.065918,16.753294,16.661806,6.372894,0.749999,2.777965,0.781231,9.951585,22,0.198,0.51700002,0,0,1
587728949583937000,148.95153,0.55692097,0.080031,18.411999,16.378696,15.446081,15.022681,14.717273,3.999512,0.610946,2.764416,0.574361,11.243033,30,0.76700002,0,0,0,1
587728949047263000,149.30677,0.19869727,0.065746,18.703886,17.305094,16.684649,16.315647,16.077347,7.049742,0.445228,3.398929,0.448747,10.267179,38,0.118,0.84799999,1,0,0
587728949584199000,149.53812,0.60086726,0.046698,18.499973,17.439758,16.973297,16.690643,16.530237,2.647482,0.661431,1.540498,0.692668,9.673844,63,0.69999999,0.235,0,0,1
588848900973068000,149.49877,0.74899732,0.09232,19.406933,18.300037,17.602497,17.129946,16.889042,2.91873,0.48739,1.650137,0.536231,10.569471,26,0.79799998,0.111,0,0,1
587728949584265000,149.62083,0.57480428,0.090345,19.002989,17.101065,16.164585,15.760992,15.428313,2.386447,0.697409,1.502207,0.719661,11.010541,63,0.87400001,0.093,0,0,1
588848900436328000,149.86689,0.2873983,0.169247,20.406614,18.25062,17.070808,16.614899,16.291042,2.365947,0.931366,1.224538,0.937129,11.191324,26,0.40700001,0.049,0,0,1
587728949584396000,149.91553,0.54105659,0.044834,17.396664,15.759522,15.03106,14.688013,14.405485,10.744849,0.518975,5.547927,0.464144,10.64255,50,0,1,1,0,0
587728949584396000,149.89462,0.47944441,0.09411,19.123785,18.00737,17.496607,17.160963,16.972641,5.522934,0.500248,2.622041,0.523752,10.117298,34,0.185,0.65200001,0,0,1
588848900973330000,150.10153,0.70459403,0.033373,16.684429,14.85048,14.041191,13.620494,13.318877,8.028004,0.672962,4.985745,0.683748,10.932199,29,0.034,0.96600002,1,0,0
587728949047591000,150.09059,0.17474878,0.140525,20.332399,18.49564,17.473364,17.060053,16.74441,1.491827,0.629107,0.994637,0.669663,10.867126,36,0.62099999,0.252,0,0,1
587728949584527000,150.20261,0.59557971,0.092838,19.535017,17.631886,16.727278,16.32107,16.001732,2.100576,0.632093,1.292751,0.665191,10.78716,38,0.41800001,0.54699999,1,0,0
588848900436656000,150.5026,0.33074555,0.032409,18.375757,17.125143,16.54818,16.245584,15.96766,10.962308,0.395292,4.652638,0.415004,9.638924,50,0.132,0.84500003,1,0,0
588848898827354000,153.49957,-0.92524778,0.041406,18.782894,17.007633,16.190197,15.820207,15.532275,2.819527,0.68691,1.869893,0.670879,10.205081,38,0.78600001,0.18799999,0,0,1
587728947975356000,153.52527,-0.83249949,0.040439,19.27211,17.568918,16.798674,16.441154,16.158356,5.331748,0.725598,2.494936,0.763876,9.910633,44,0.77999997,0.13600001,0,1,0
588848898827354000,153.53958,-0.89842379,0.047158,18.646633,16.756567,15.89581,15.503459,15.174368,2.660909,0.822028,1.807261,0.723387,10.524045,29,0.764,0.2,0,0,1
587728948512293000,153.65466,-0.38769457,0.095323,19.319952,17.473118,16.497669,16.061934,15.683691,2.069606,0.915309,1.439123,0.823433,11.008225,29,1,0,0,1,0
588848898827288000,153.37928,-0.94689588,0.044991,19.276711,17.254547,16.416683,16.010929,15.706045,1.132125,0.712398,1.025131,0.714412,10.298317,64,0.70300001,0.125,0,0,1
588848898827288000,153.35198,-0.84270209,0.042285,18.051502,16.106476,15.249233,14.847957,14.530365,3.877428,0.707472,2.763303,0.608466,10.729727,34,0.759,0.241,0,0,1
588848899901030000,153.44213,-0.13358306,0.096162,19.80302,18.033241,17.073608,16.638618,16.301765,2.011278,0.68645,1.425622,0.671114,10.725516,53,0.82599998,0.038,0,0,1
588848899901030000,153.45199,-0.10519759,0.091545,20.305147,18.307482,17.36829,16.973543,16.619299,1.129657,0.404081,0.970602,0.47142,10.509079,28,0.35699999,0.107,0,0,1
587728948511834000,152.68149,-0.3817389,0.215534,20.127539,18.544079,17.354984,16.850224,16.501175,2.657552,0.738486,1.508351,0.7669,11.442688,63,0.75700003,0.115,0,0,1
587728948511703000,152.37688,-0.33388814,0.045663,17.809074,15.966928,15.188353,14.814589,14.490557,5.010345,0.77471,2.918643,0.6593,10.69696,46,0.315,0.66299999,0,0,1
588848899900571000,152.35484,-0.12971733,0.095048,19.358297,17.486958,16.596527,16.192171,15.908068,2.072504,0.862262,1.421578,0.837668,10.835533,24,0.60799998,0.13,0,0,1
