id,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,class
588848900438950000,0.094124,20.36083,18.304251,17.385368,16.977715,16.664135,1.760521,0.354117,1.26718,0.379476,10.566606,0
587728949587148000,0.098085,18.395601,17.285938,16.671751,16.316921,16.101479,6.688953,0.468015,3.771697,0.434044,10.592848,1
587728950124085000,0.147979,20.655964,18.80361,17.598333,17.064125,16.670874,2.286362,0.329353,1.520326,0.363856,11.235393,1
588848900439605000,0.094031,18.857521,17.362465,16.651464,16.301716,16.0739,8.744923,0.536014,3.652257,0.562394,10.623142,1
587728947977519000,0.065156,18.820608,17.698923,17.21154,16.853224,16.633987,10.402442,0.216965,4.837461,0.234938,9.926712,1
588848899366518000,0.083258,19.643902,18.188671,17.508684,17.177124,16.931253,2.546293,0.741115,1.492093,0.73283,10.117093,1
588848899366518000,0.115168,20.11124,18.220665,17.260372,16.876575,16.533808,1.52132,0.76423,1.033625,0.819875,10.735331,1
588848900440129000,0.160197,20.332365,18.482927,17.337622,16.894274,16.583485,2.235798,0.737724,1.20869,0.766547,11.094883,0
587728949588131000,0.183748,20.84198,18.765556,17.569557,17.103067,16.790819,1.291664,0.947986,0.937301,0.894196,11.135261,0
587728949051523000,0.096834,17.735851,15.77457,14.78154,14.36013,13.994696,6.603106,0.860875,3.636972,0.859512,11.692317,0
588848899367501000,0.060124,17.704214,16.330015,15.702869,15.308531,15.027193,5.792658,0.544773,3.787575,0.474886,10.68085,1
588848899904176000,0.138392,18.872759,17.057117,15.95857,15.510195,15.159537,6.694367,0.845116,3.015319,0.858777,11.545836,0
588848899903979000,0.114731,19.439604,17.835249,17.030115,16.634907,16.333241,11.286057,0.399911,4.313951,0.426717,10.739273,1
588848899366912000,0.133918,19.343243,17.971458,17.220787,16.804531,16.549908,2.847408,0.525794,1.641791,0.515581,10.806026,1
587728947977978000,0.092708,18.452452,17.393715,16.894213,16.614614,16.480402,5.115857,0.677383,2.364433,0.709386,10.225934,1
587728949588656000,0.18773,20.662228,18.681744,17.459208,17.021538,16.716637,1.456553,0.795911,0.999987,0.814581,11.162462,0
587728950125592000,0.065915,17.590563,15.670469,14.769175,14.382397,14.074177,4.876157,0.915926,2.587338,0.964098,11.215734,0
588848900977918000,0.121976,19.422651,18.070417,17.553272,17.246847,17.09124,9.397407,0.752294,3.410728,0.799828,10.22065,1
587728947979026000,0.05221,18.460182,17.318945,16.940151,16.652813,16.499166,16.054831,0.126676,6.931143,0.155133,9.649116,1
587728947442221000,0.094131,18.704121,17.428997,16.978369,16.674971,16.5366,14.92583,0.75412,4.928232,0.795802,10.204499,1
588848899366387000,0.115469,19.880371,18.136183,17.199375,16.800777,16.473852,4.005558,0.367417,2.105615,0.426868,10.762528,1
588848899903127000,0.033977,17.433718,15.982072,15.312452,14.937227,14.637816,22.300152,0.268773,8.89852,0.250054,10.339476,1
588848898829189000,0.050557,17.92725,16.096539,15.245747,14.859759,14.567824,3.355411,0.845883,2.323447,0.829422,10.802474,0
587728948513865000,0.094744,18.183992,16.857895,16.106909,15.723015,15.431456,10.118655,0.817103,4.516274,0.779851,10.943397,1
587728948513538000,0.166323,20.616655,18.032434,16.876745,16.399683,16.036545,5.755621,0.789654,2.454693,0.793064,11.379606,0
588848900976607000,0.217879,20.621311,18.869848,17.518147,17.009405,16.671873,1.540609,0.783705,0.991771,0.774168,11.398482,0
588848900440195000,0.096808,19.639204,18.262415,17.512602,17.13192,16.816174,7.937802,0.390411,3.494963,0.412685,10.397842,1
588848900440457000,0.029224,15.912816,14.416598,13.727375,13.367821,13.08744,19.212622,0.759019,10.928011,0.703678,10.764394,1
588848898830500000,0.038715,18.83655,17.728045,17.231754,16.988701,16.869991,19.113415,0.823668,5.730464,0.87042,9.329905,1
588848900978311000,0.114784,19.896421,18.289415,17.473516,17.073061,16.765089,5.114585,0.375069,2.548602,0.407506,10.576678,1
587728949589573000,0.094615,18.794767,17.044127,16.229649,15.772115,15.452874,6.699739,0.337252,3.632212,0.367454,10.881227,1
588848900978507000,0.075632,17.90102,16.026293,15.168415,14.749404,14.431388,7.459683,0.831552,4.262779,0.782543,11.211333,0
587728949589967000,0.161124,19.673098,18.501064,17.663139,17.249891,17.011835,7.771865,0.44998,3.215721,0.488307,10.778508,1
588848898831941000,0.075451,17.916447,16.648781,15.98315,15.56234,15.306667,3.16081,0.72115,1.957334,0.675546,10.826334,1
588848899905618000,0.108362,18.704884,17.466637,16.900126,16.609457,16.384661,9.890615,0.496442,4.006297,0.513285,10.459658,1
587728948516618000,0.040961,16.91361,15.117136,14.266867,13.844844,13.493999,12.107419,0.361159,7.63013,0.350001,11.098119,1
588848899904110000,0.095229,18.521116,17.52804,16.885473,16.548512,16.321398,3.841554,0.92971,1.926971,0.919633,10.470294,1
587728948515242000,0.135105,20.435867,18.668388,17.749083,17.269014,16.924948,4.140665,0.316291,2.327631,0.341814,10.774376,1
588848899903848000,0.018701,14.995876,13.255867,12.495058,12.12492,11.901243,11.244653,0.836119,8.868671,0.815532,10.882275,0
587728948514848000,0.094602,17.848444,16.730982,16.249414,15.935009,15.848756,9.89187,0.792031,3.973423,0.804009,10.424679,1
587726031165653000,0.060892,19.670351,18.147062,17.498602,17.151052,16.901823,2.879566,0.211917,2.030806,0.237804,9.77772,1
587728950125592000,0.107026,19.880787,18.40481,17.657637,17.246872,16.964785,5.708477,0.232526,3.011909,0.271889,10.435664,1
587728947979157000,0.026116,18.136858,16.807478,16.187841,15.857894,15.592393,23.82995,0.135894,10.784065,0.132242,9.642624,1
587728947979223000,0.038697,16.078701,14.174,13.335427,12.946444,12.660987,11.85518,0.849431,8.725761,0.782784,11.322869,0
587728948516028000,0.067794,19.894705,18.434645,17.658936,17.219046,16.890406,4.81158,0.317268,2.617536,0.356688,10.152528,1
587728949589770000,0.106217,18.808382,17.745621,17.2384,16.902534,16.70973,4.659235,0.75,2.276472,0.775349,10.283821,1
587728950127100000,0.163249,19.738882,18.29184,17.342527,16.908243,16.565533,3.229098,0.393144,1.978505,0.418303,11.047703,1
588848900442751000,0.025948,17.558378,16.025688,15.390391,15.096177,14.845481,1.904515,0.661172,1.531157,0.657359,9.899106,0
587722982270959000,0.033737,18.084843,17.03113,16.681591,16.479818,16.303417,12.318075,0.282722,5.93888,0.285102,9.257128,1
587722981733761000,0.085166,19.445745,17.542513,16.698593,16.233215,15.831506,27.658794,0.120982,11.102932,0.129215,10.97976,1
588848899369664000,0.101873,19.854456,18.193581,17.356085,16.931967,16.582447,5.825648,0.110039,3.50906,0.116494,10.62359,1
588848898832203000,0.096806,20.165823,18.261009,17.095507,16.488596,15.931984,9.714564,0.362864,3.851157,0.387782,11.310566,1
588848900979687000,0.102554,19.384846,17.910286,17.044788,16.573208,16.216167,12.120062,0.198395,5.209956,0.220139,10.855143,1
588848900442554000,0.134678,20.436829,18.483917,17.441952,16.950956,16.549377,1.977966,0.622631,1.21442,0.664689,11.014265,1
587722984417788000,0.123911,19.943647,18.070507,17.118412,16.66396,16.308453,2.090058,0.356653,1.563,0.391494,10.972071,1
587722983881244000,0.118708,20.269428,18.38905,17.43733,17.016903,16.663191,3.47012,0.255245,2.093521,0.306848,10.680218,1
